IDAt,GeneAt,DescriptionAt,IDLj,Best_sport,Best_trembl_plants,DescriptionLj
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi1g1v0793700.1,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|A0A140WWF5|A0A140WWF5_LOTCO AP2/ERF,ethylene-responsive transcription factor
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi1g1v0793700.2,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|A0A140WWF5|A0A140WWF5_LOTCO AP2/ERF,ethylene-responsive transcription factor
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi1g1v0793700.3,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|A0A140WWF5|A0A140WWF5_LOTCO AP2/ERF,ethylene-responsive transcription factor
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi1g1v0793700.4,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|A0A140WWF5|A0A140WWF5_LOTCO AP2/ERF,ethylene-responsive transcription factor
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi3g1v0396800.1,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|I1KHU6|I1KHU6_SOYBN Uncharacterized protein,ethylene-responsive transcription factor
AT1G01250.1,ERF023,Ethylene-responsive transcription factor ERF023 [Source:UniProtKB/Swiss-Prot;Acc:Q1ECI2],LotjaGi3g1v0396800.2,sp|Q1ECI2|ERF23_ARATH Ethylene-responsive transcription factor ERF023,tr|I1KHU6|I1KHU6_SOYBN Uncharacterized protein,ethylene-responsive transcription factor
AT1G06180.1,ATMYB13,Transcription factor MYB13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNC9],LotjaGi3g1v0460600.1,sp|Q9SJX8|MYB14_ARATH Transcription factor MYB14,tr|K7KY78|K7KY78_SOYBN Uncharacterized protein,MYB family protein
AT1G06180.1,ATMYB13,Transcription factor MYB13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNC9],LotjaGi3g1v0460700.1,sp|Q9SJX8|MYB14_ARATH Transcription factor MYB14,tr|A0A151S650|A0A151S650_CAJCA Myb-related protein Myb4,MYB family protein
AT1G08810.1,MYB60,MYB60 [Source:UniProtKB/TrEMBL;Acc:A0A178WD25],LotjaGi1g1v0650400.1,sp|P81392|MYB06_ANTMA Myb-related protein 306,tr|A0A151TAB8|A0A151TAB8_CAJCA Myb-related protein 306 family,MYB family protein
AT1G08810.1,MYB60,MYB60 [Source:UniProtKB/TrEMBL;Acc:A0A178WD25],LotjaGi1g1v0650400.2,sp|P81392|MYB06_ANTMA Myb-related protein 306,tr|A0A151TAB8|A0A151TAB8_CAJCA Myb-related protein 306 family,Myb factor
