Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
cluster8,GO:0072594,establishment of protein localization to organelle,132/2827,477/20876,1.54873512723853e-16,2.4439040307824007e-13,1.884566112723938e-13,AT5G11710/AT5G08470/AT4G30600/AT1G06950/AT2G37990/AT4G28200/AT3G02470/AT5G22000/AT5G53310/AT4G01790/AT1G56590/AT4G03320/AT3G16270/AT1G04510/AT5G13570/AT3G12270/AT3G57940/AT5G58060/AT3G51840/AT4G33650/AT1G16280/AT2G17670/AT4G30550/AT1G17580/AT1G79150/AT3G55770/AT2G25970/AT2G24060/AT4G33200/AT1G02370/AT3G05090/AT2G27090/AT1G09070/AT4G02400/AT2G27600/AT2G47980/AT4G32720/AT4G16390/AT3G46560/AT3G11964/AT1G30900/AT2G31660/AT1G79590/AT1G61570/AT1G14060/AT5G03280/AT2G26350/AT2G27110/AT2G34357/AT5G27150/AT1G16240/AT1G34190/AT1G15420/AT1G06720/AT4G01560/AT5G38890/AT5G53530/AT3G19860/AT4G32760/AT5G09840/AT5G03940/AT5G20350/AT1G73030/AT3G57000/AT3G07160/AT2G25910/AT1G49540/AT1G02150/AT4G34370/AT1G54770/AT2G18900/AT4G32850/AT3G21540/AT1G56280/AT3G56310/AT3G12860/AT2G40780/AT3G54860/AT2G37400/AT3G03330/AT4G20130/AT1G17210/AT1G80270/AT4G29380/AT5G20010/AT2G45660/AT3G07860/AT3G15352/AT4G35450/AT3G04460/AT4G34910/AT2G45500/AT1G29400/AT1G72560/AT1G24310/AT5G51120/AT2G38020/AT2G04030/AT4G31410/AT3G61710/AT5G54910/AT5G12200/AT1G14400/AT2G44100/AT4G24550/AT2G14720/AT2G31970/AT3G06480/AT3G17020/AT5G62600/AT5G11450/AT1G33410/AT3G60600/AT5G16880/AT2G24200/AT5G54080/AT1G15440/AT3G62770/AT5G03540/AT4G30930/AT5G40280/AT5G20300/AT3G54300/AT4G02510/AT2G45980/AT3G59090/AT2G45280/AT1G05940/AT1G07840/AT5G26110/AT4G11140/AT4G10925,132
cluster8,GO:0033365,protein localization to organelle,133/2827,486/20876,3.155696434537865e-16,2.4898444868503754e-13,1.9199921464872484e-13,AT5G11710/AT5G08470/AT4G30600/AT1G06950/AT2G37990/AT4G28200/AT3G02470/AT5G22000/AT5G53310/AT4G01790/AT1G56590/AT4G03320/AT3G16270/AT1G04510/AT5G13570/AT3G12270/AT3G57940/AT5G58060/AT3G51840/AT4G33650/AT1G16280/AT2G17670/AT4G30550/AT1G17580/AT1G79150/AT3G55770/AT2G25970/AT2G24060/AT4G33200/AT1G02370/AT3G05090/AT2G27090/AT1G09070/AT4G02400/AT2G27600/AT2G47980/AT4G32720/AT4G16390/AT3G46560/AT3G11964/AT1G30900/AT2G31660/AT1G79590/AT1G61570/AT1G14060/AT5G03280/AT2G26350/AT2G27110/AT2G34357/AT5G27150/AT1G16240/AT1G34190/AT1G15420/AT1G06720/AT4G01560/AT5G38890/AT5G53530/AT3G19860/AT4G32760/AT5G09840/AT5G03940/AT5G20350/AT1G73030/AT5G22350/AT3G57000/AT3G07160/AT2G25910/AT1G49540/AT1G02150/AT4G34370/AT1G54770/AT2G18900/AT4G32850/AT3G21540/AT1G56280/AT3G56310/AT3G12860/AT2G40780/AT3G54860/AT2G37400/AT3G03330/AT4G20130/AT1G17210/AT1G80270/AT4G29380/AT5G20010/AT2G45660/AT3G07860/AT3G15352/AT4G35450/AT3G04460/AT4G34910/AT2G45500/AT1G29400/AT1G72560/AT1G24310/AT5G51120/AT2G38020/AT2G04030/AT4G31410/AT3G61710/AT5G54910/AT5G12200/AT1G14400/AT2G44100/AT4G24550/AT2G14720/AT2G31970/AT3G06480/AT3G17020/AT5G62600/AT5G11450/AT1G33410/AT3G60600/AT5G16880/AT2G24200/AT5G54080/AT1G15440/AT3G62770/AT5G03540/AT4G30930/AT5G40280/AT5G20300/AT3G54300/AT4G02510/AT2G45980/AT3G59090/AT2G45280/AT1G05940/AT1G07840/AT5G26110/AT4G11140/AT4G10925,133
cluster8,GO:0017038,protein import,71/2827,218/20876,3.805080786405834e-13,2.0014724936494687e-10,1.5433941716088226e-10,AT5G08470/AT1G06950/AT2G37990/AT4G28200/AT5G22000/AT4G03320/AT5G13570/AT3G12270/AT3G57940/AT3G51840/AT1G16280/AT1G17580/AT1G79150/AT2G25970/AT4G33200/AT3G05090/AT2G27090/AT4G02400/AT2G27600/AT2G47980/AT4G32720/AT3G11964/AT2G31660/AT5G03280/AT2G26350/AT2G27110/AT2G34357/AT5G27150/AT1G06720/AT3G19860/AT5G09840/AT5G03940/AT5G20350/AT3G07160/AT1G49540/AT4G34370/AT2G18900/AT3G21540/AT3G56310/AT3G12860/AT3G03330/AT1G17210/AT1G80270/AT4G29380/AT5G20010/AT2G45660/AT3G04460/AT4G34910/AT2G45500/AT1G29400/AT1G72560/AT1G24310/AT5G51120/AT2G04030/AT4G31410/AT5G54910/AT5G12200/AT2G31970/AT3G06480/AT5G62600/AT1G33410/AT5G54080/AT1G15440/AT3G62770/AT4G30930/AT5G40280/AT3G59090/AT1G05940/AT1G07840/AT4G11140/AT4G10925,71
cluster8,GO:0009100,glycoprotein metabolic process,61/2827,191/20876,4.2527592480729584e-11,1.677713523364782e-8,1.2937341291506159e-8,AT3G57410/AT1G50410/AT4G05420/AT5G24350/AT4G00450/AT2G23980/AT3G59770/AT1G51590/AT1G31730/AT4G02570/AT3G51050/AT5G01010/AT3G28030/AT4G24560/AT2G17520/AT5G43930/AT3G05090/AT2G27090/AT1G10730/AT1G53280/AT1G53570/AT2G39480/AT3G09840/AT4G11270/AT3G13670/AT4G19110/AT3G07100/AT4G32760/AT2G41700/AT1G23230/AT1G54920/AT5G58410/AT4G02480/AT3G07610/AT5G16680/AT5G19660/AT2G38020/AT2G33730/AT2G18750/AT2G44100/AT5G14950/AT2G30110/AT4G26970/AT3G12640/AT3G58640/AT5G66250/AT5G18525/AT4G38240/AT1G30000/AT3G27670/AT5G61540/AT1G02145/AT1G34300/AT3G04240/AT3G12570/AT5G23450/AT3G33530/AT1G33050/AT2G35610/AT5G08450/AT3G11040,61
cluster8,GO:0006486,protein glycosylation,58/2827,183/20876,1.7779004998683959e-10,3.5069087359904107e-8,2.7042802340103494e-8,AT3G57410/AT1G50410/AT4G05420/AT5G24350/AT4G00450/AT2G23980/AT3G59770/AT1G31730/AT4G02570/AT3G51050/AT5G01010/AT3G28030/AT4G24560/AT2G17520/AT5G43930/AT3G05090/AT2G27090/AT1G10730/AT1G53280/AT1G53570/AT2G39480/AT3G09840/AT4G11270/AT3G13670/AT4G19110/AT3G07100/AT4G32760/AT2G41700/AT1G23230/AT1G54920/AT5G58410/AT4G02480/AT3G07610/AT5G16680/AT5G19660/AT2G38020/AT2G33730/AT2G18750/AT2G44100/AT5G14950/AT2G30110/AT4G26970/AT3G12640/AT3G58640/AT5G66250/AT5G18525/AT4G38240/AT1G30000/AT3G27670/AT1G02145/AT1G34300/AT3G04240/AT3G12570/AT5G23450/AT3G33530/AT1G33050/AT2G35610/AT5G08450,58
cluster8,GO:0009101,glycoprotein biosynthetic process,58/2827,183/20876,1.7779004998683959e-10,3.5069087359904107e-8,2.7042802340103494e-8,AT3G57410/AT1G50410/AT4G05420/AT5G24350/AT4G00450/AT2G23980/AT3G59770/AT1G31730/AT4G02570/AT3G51050/AT5G01010/AT3G28030/AT4G24560/AT2G17520/AT5G43930/AT3G05090/AT2G27090/AT1G10730/AT1G53280/AT1G53570/AT2G39480/AT3G09840/AT4G11270/AT3G13670/AT4G19110/AT3G07100/AT4G32760/AT2G41700/AT1G23230/AT1G54920/AT5G58410/AT4G02480/AT3G07610/AT5G16680/AT5G19660/AT2G38020/AT2G33730/AT2G18750/AT2G44100/AT5G14950/AT2G30110/AT4G26970/AT3G12640/AT3G58640/AT5G66250/AT5G18525/AT4G38240/AT1G30000/AT3G27670/AT1G02145/AT1G34300/AT3G04240/AT3G12570/AT5G23450/AT3G33530/AT1G33050/AT2G35610/AT5G08450,58
cluster8,GO:0043413,macromolecule glycosylation,58/2827,183/20876,1.7779004998683959e-10,3.5069087359904107e-8,2.7042802340103494e-8,AT3G57410/AT1G50410/AT4G05420/AT5G24350/AT4G00450/AT2G23980/AT3G59770/AT1G31730/AT4G02570/AT3G51050/AT5G01010/AT3G28030/AT4G24560/AT2G17520/AT5G43930/AT3G05090/AT2G27090/AT1G10730/AT1G53280/AT1G53570/AT2G39480/AT3G09840/AT4G11270/AT3G13670/AT4G19110/AT3G07100/AT4G32760/AT2G41700/AT1G23230/AT1G54920/AT5G58410/AT4G02480/AT3G07610/AT5G16680/AT5G19660/AT2G38020/AT2G33730/AT2G18750/AT2G44100/AT5G14950/AT2G30110/AT4G26970/AT3G12640/AT3G58640/AT5G66250/AT5G18525/AT4G38240/AT1G30000/AT3G27670/AT1G02145/AT1G34300/AT3G04240/AT3G12570/AT5G23450/AT3G33530/AT1G33050/AT2G35610/AT5G08450,58
cluster8,GO:0070085,glycosylation,58/2827,183/20876,1.7779004998683959e-10,3.5069087359904107e-8,2.7042802340103494e-8,AT3G57410/AT1G50410/AT4G05420/AT5G24350/AT4G00450/AT2G23980/AT3G59770/AT1G31730/AT4G02570/AT3G51050/AT5G01010/AT3G28030/AT4G24560/AT2G17520/AT5G43930/AT3G05090/AT2G27090/AT1G10730/AT1G53280/AT1G53570/AT2G39480/AT3G09840/AT4G11270/AT3G13670/AT4G19110/AT3G07100/AT4G32760/AT2G41700/AT1G23230/AT1G54920/AT5G58410/AT4G02480/AT3G07610/AT5G16680/AT5G19660/AT2G38020/AT2G33730/AT2G18750/AT2G44100/AT5G14950/AT2G30110/AT4G26970/AT3G12640/AT3G58640/AT5G66250/AT5G18525/AT4G38240/AT1G30000/AT3G27670/AT1G02145/AT1G34300/AT3G04240/AT3G12570/AT5G23450/AT3G33530/AT1G33050/AT2G35610/AT5G08450,58
cluster8,GO:1901293,nucleoside phosphate biosynthetic process,111/2827,469/20876,1.5103197917376299e-9,2.648094034846645e-7,2.0420230166651463e-7,AT3G55160/AT1G42440/AT5G22650/AT1G63810/AT1G69070/AT5G19820/AT3G06530/AT1G21640/AT3G44750/AT5G50210/AT5G23070/AT3G60750/AT1G18270/AT4G39880/AT1G04510/AT3G12270/AT3G57940/AT5G42740/AT4G32400/AT3G61430/AT3G55510/AT5G43960/AT2G01350/AT1G79150/AT3G04600/AT3G18600/AT3G20330/AT4G32720/AT2G37690/AT4G10320/AT5G10450/AT1G19520/AT4G26900/AT5G17020/AT2G31660/AT5G27330/AT3G15730/AT4G01370/AT1G31860/AT4G29220/AT3G02650/AT4G19710/AT1G15700/AT5G39740/AT3G44850/AT5G20080/AT4G26300/AT5G35630/AT5G20720/AT5G08570/AT1G20960/AT3G22300/AT2G22480/AT5G64420/AT3G17970/AT1G60440/AT3G54470/AT2G35390/AT5G39840/AT1G31660/AT1G80270/AT4G35450/AT1G26460/AT2G42590/AT1G31817/AT4G24830/AT1G28960/AT2G33210/AT1G24310/AT1G54270/AT1G52160/AT3G09720/AT1G16300/AT3G53420/AT1G21690/AT2G18250/AT4G13430/AT4G26970/AT1G23190/AT1G62380/AT5G13420/AT3G59670/AT5G05170/AT1G69250/AT3G10530/AT2G16440/AT4G24190/AT4G29040/AT3G18030/AT3G51550/AT3G15460/AT1G52930/AT3G06930/AT3G27060/AT2G24200/AT4G01100/AT1G15440/AT3G52930/AT1G04410/AT1G56110/AT5G03540/AT1G14810/AT1G08830/AT1G03860/AT3G53940/AT4G04880/AT3G13920/AT1G71750/AT5G07090/AT4G11140/AT2G36010,111
cluster8,GO:0009165,nucleotide biosynthetic process,110/2827,468/20876,2.708196565530996e-9,4.273534180407912e-7,3.295447610267191e-7,AT3G55160/AT1G42440/AT5G22650/AT1G63810/AT1G69070/AT5G19820/AT3G06530/AT1G21640/AT3G44750/AT5G50210/AT5G23070/AT3G60750/AT1G18270/AT4G39880/AT1G04510/AT3G12270/AT3G57940/AT5G42740/AT4G32400/AT3G61430/AT3G55510/AT5G43960/AT2G01350/AT1G79150/AT3G04600/AT3G18600/AT3G20330/AT4G32720/AT2G37690/AT4G10320/AT5G10450/AT1G19520/AT4G26900/AT5G17020/AT2G31660/AT5G27330/AT3G15730/AT4G01370/AT1G31860/AT4G29220/AT3G02650/AT4G19710/AT1G15700/AT5G39740/AT3G44850/AT5G20080/AT4G26300/AT5G35630/AT5G20720/AT5G08570/AT1G20960/AT3G22300/AT2G22480/AT5G64420/AT3G17970/AT1G60440/AT3G54470/AT2G35390/AT5G39840/AT1G31660/AT1G80270/AT4G35450/AT1G26460/AT2G42590/AT1G31817/AT4G24830/AT1G28960/AT2G33210/AT1G24310/AT1G54270/AT1G52160/AT3G09720/AT1G16300/AT3G53420/AT1G21690/AT2G18250/AT4G13430/AT4G26970/AT1G23190/AT1G62380/AT5G13420/AT3G59670/AT5G05170/AT1G69250/AT3G10530/AT2G16440/AT4G24190/AT4G29040/AT3G18030/AT3G51550/AT3G15460/AT1G52930/AT3G06930/AT3G27060/AT2G24200/AT4G01100/AT1G15440/AT3G52930/AT1G04410/AT1G56110/AT5G03540/AT1G14810/AT1G08830/AT1G03860/AT3G53940/AT3G13920/AT1G71750/AT5G07090/AT4G11140/AT2G36010,110
