ID,Gene,Chromosome,Start,End,Strand,Interpro_ID,Ontology_ID,Best_TAIR,Best_sport,Best_trembl_plants,Description,L_fSC_1,L_fSC_2,L_fSC_3,L_fSC_4,L_AtSC_1,L_AtSC_2,L_AtSC_3,L_AtSC_4,L_AtSCMloti_1,L_AtSCMloti_2,L_AtSCMloti_3,L_AtSCMloti_4,L_LjSC_1,L_LjSC_2,L_LjSC_3,L_LjSC_4,L_mock_1,L_mock_2,L_mock_3,L_mock_4,fullSC_vs_Mock_pvalue,fullSC_vs_Mock_padj,fullSC_vs_Mock_log2FoldChange,AtSC_vs_Mock_pvalue,AtSC_vs_Mock_padj,AtSC_vs_Mock_log2FoldChange,AtSCMloti_vs_Mock_pvalue,AtSCMloti_vs_Mock_padj,AtSCMloti_vs_Mock_log2FoldChange,LjSC_vs_Mock_pvalue,LjSC_vs_Mock_padj,LjSC_vs_Mock_log2FoldChange,fullSC_vs_AtSC_pvalue,fullSC_vs_AtSC_padj,fullSC_vs_AtSC_log2FoldChange,fullSC_vs_AtSCMloti_pvalue,fullSC_vs_AtSCMloti_padj,fullSC_vs_AtSCMloti_log2FoldChange,fullSC_vs_LjSC_pvalue,fullSC_vs_LjSC_padj,fullSC_vs_LjSC_log2FoldChange,AtSC_vs_AtSCMloti_pvalue,AtSC_vs_AtSCMloti_padj,AtSC_vs_AtSCMloti_log2FoldChange,AtSC_vs_LjSC_pvalue,AtSC_vs_LjSC_padj,AtSC_vs_LjSC_log2FoldChange,Raw_L_AtSCMloti_1,Raw_L_AtSCMloti_2,Raw_L_AtSCMloti_3,Raw_L_AtSCMloti_4,Raw_L_LjSC_1,Raw_L_LjSC_2,Raw_L_LjSC_3,Raw_L_LjSC_4,Raw_L_mock_1,Raw_L_mock_2,Raw_L_mock_3,Raw_L_mock_4,Scale_L_AtSCMloti_1,Scale_L_AtSCMloti_2,Scale_L_AtSCMloti_3,Scale_L_AtSCMloti_4,Scale_L_LjSC_1,Scale_L_LjSC_2,Scale_L_LjSC_3,Scale_L_LjSC_4,Scale_L_mock_1,Scale_L_mock_2,Scale_L_mock_3,Scale_L_mock_4,cl
LotjaGi1g1v0457600.1,LotjaGi1g1v0457600,chr1,96088830,96093310,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT3G56400.1 WRKY DNA-binding protein 70,sp|Q9LY00|WRK70_ARATH Probable WRKY transcription factor 70,tr|A0A0B2S8Q8|A0A0B2S8Q8_GLYSO Putative WRKY transcription factor 70,WRKY transcription factor,7.328328407181535,7.537730929591729,6.981912948328485,7.007554829919636,6.8022147654048055,7.1929851831642395,7.5606365286127,7.136497735030638,7.690993849084213,7.504117474992574,6.77953496366397,7.050466691049504,7.479748987351882,7.25298607547491,6.918010586750646,7.266315101283148,8.833494021775504,8.789046996118872,9.028055143068906,9.46751294854743,7.942685180511698e-25,1.0272274743955779e-20,-3.069139876760583,4.16459183122714e-8,1.7998444451179508e-4,-2.632259483097325,1.5380767914166296e-25,3.411146708003801e-21,-2.8557000538537847,2.068529531014316e-15,4.58758479388355e-11,-2.520104864204195,0.28304603913846915,0.7514590345559705,-0.43688039366325826,0.434100276554642,0.996004033709212,-0.2134398229067988,0.10604446965828922,0.6594291472744597,-0.5490350125563882,0.6076117088669217,0.9998860959868132,0.22344057075645943,0.8044285663138562,0.9992403910356497,-0.11215461889312997,7.364458948918205,7.161644866963385,6.992177417720578,7.129285668839221,7.683372235990918,7.363142535435776,6.931563160797741,7.3926360314985295,9.03210733626996,8.972502079306084,8.893506075038689,9.282095301906578,-0.534290351960786,-0.7575251670465194,-0.9440557783834409,-0.7931425144217362,-0.18326665586497096,-0.5357393111133957,-1.0107731005008613,-0.503276204625221,1.3012684800014898,1.2356617509804129,1.1487118792793334,1.5764269736556975,1
LotjaGi3g1v0051600.1,LotjaGi3g1v0051600,chr3,5412636,5415288,+,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT3G56400.1 WRKY DNA-binding protein 70,sp|Q9LY00|WRK70_ARATH Probable WRKY transcription factor 70,tr|V7APM3|V7APM3_PHAVU Uncharacterized protein,WRKY transcription factor,5.423951290686875,5.828073102945522,4.949463651725768,4.863473478556767,4.866577865313,5.2351135427900495,5.858475631222046,5.331071355698255,5.612496906282594,5.34349395585224,4.949486577623063,4.768780970583426,5.294735449331464,5.077880953852685,4.564377274222003,4.568560376338022,6.768965634632064,6.63746691720531,6.624885368922726,7.2363849596740994,5.989905305380263e-12,1.2911240885747158e-8,-2.8921829081103807,3.8998029553295645e-4,0.09966901041175391,-2.385670152606585,6.269604572232029e-14,2.525335425724186e-10,-2.8706283540692747,9.446844096276269e-11,5.237802709180378e-7,-2.969194261704738,0.3721702365319924,0.8057331637349898,-0.5065127555037958,0.9556731053258973,0.9997993295397554,-0.021554554041106094,0.8759513320810824,0.9873667765576623,0.0770113535943574,0.4301451475235489,0.9998860959868132,0.4849582014626897,0.3661843047452822,0.9992403910356497,0.5835241090981532,5.235316476616382,5.027971780004561,5.22968758225174,4.932565932468032,5.4688857113729,5.184903315941806,4.617564591455808,4.74547143767791,6.997241666948608,6.883052307283668,6.621250635974461,7.1813878213904845,-0.4633874877573359,-0.6808676201417405,-0.4692915340705721,-0.7809371019830612,-0.2184009077973458,-0.5162649475457043,-1.111336357252453,-0.9771771609777956,1.3846642343575797,1.2648930636325608,0.9902939874797798,1.5778118320560834,1
LotjaGi1g1v0754400.2,LotjaGi1g1v0754400,chr1,132748685,132752791,+,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT4G04450.1 WRKY family transcription factor,sp|Q9XEC3|WRK42_ARATH WRKY transcription factor 42,tr|I1NBI8|I1NBI8_SOYBN Uncharacterized protein,"WRKY family transcription factor, putative",6.3573600802130725,6.030376841441534,5.6634532123444385,6.168200438479576,6.138236955205313,5.527455145867744,5.998057119481967,5.917446499222109,6.074270375100312,6.286503647076157,6.176031742232793,6.028745501502765,6.04966883660443,6.141951432332303,6.278288178299799,6.202240614380848,6.803725955794895,6.486372222568687,6.337954043414785,6.359971163145282,0.008209876924709859,0.21493590742362875,-0.7327729653226809,0.01765495257252245,0.6148491629861503,-1.0708598237631002,0.012227056994066855,0.4724245122202346,-0.6359108315124716,0.009349655786347109,0.49905279400318175,-0.7932266762686152,0.37497296954405596,0.8077549734587716,0.3380868584404193,0.701184764033099,0.996004033709212,-0.09686213381020924,0.8502112978399237,0.98461173485367115,0.06045371094593439,0.28606402373691986,0.9998860959868132,-0.43494899225062855,0.5135245097959764,0.9992403910356497,-0.2776331474944849,6.005864507773325,6.217370683913958,6.241498526897127,6.185766563754532,5.981278397033115,6.0848597257383545,6.18876516060985,5.9845178383777045,6.626887116191797,6.567662570163813,6.503841437699297,6.570853410649891,-1.0614946438836552,-0.1892597338607427,-0.08975839854523023,-0.3195926508781692,-1.1628858395480348,-0.735724550115074,-0.3072266722291385,-1.1495266370827442,1.4995539687862216,1.2553165780940567,0.9921232248383383,1.2684753544241647,1
LotjaGi4g1v0101500.1,LotjaGi4g1v0101500,chr4,13909261,13912426,+,"IPR003657 (WRKY domain), IPR018872 (Zn-cluster domain)","GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT2G23320.1 WRKY DNA-binding protein 15,sp|O22176|WRK15_ARATH Probable WRKY transcription factor 15,tr|I3T1D3|I3T1D3_LOTJA Uncharacterized protein,WRKY family transcription factor,7.306639073845282,7.403348202937595,7.085132736811649,6.8084301484574095,7.240356136582495,6.898206202331143,6.812741236579303,7.144920106165464,7.119509245716722,7.283711099456121,6.889927287114032,6.985898976473038,6.648413694184092,6.900415059011857,7.015265931924641,6.608278518906529,6.557917752433817,6.604777058407522,6.72894374316822,6.634185515100614,0.008483166083861323,0.2185513684513516,0.5913139693658547,0.260785146763605,0.9997675573659286,0.4061975427378541,0.006770042047676499,0.3483665720031772,0.5690077502928298,0.27579226750982044,0.9558038658618928,0.2898549796811103,0.5350982565568343,0.8818509214464894,0.18511642662800054,0.9098221102273727,0.9997993295397554,0.022306219073024873,0.250460591727422,0.8090228035315138,0.3014589896847443,0.6108161814363324,0.9998860959868132,-0.1628102075549757,0.7303487039210308,0.9992403910356497,0.11634256305674379,6.941327503153576,7.18547469613429,7.0398064997227445,7.078486960274383,6.716368797306599,6.955955631657193,7.0851831936022425,6.766467238706484,6.713970503146926,6.732809414446678,6.7811837048593,6.6544399181359895,0.2973925068948924,1.6493708898542374,0.84272531581054,1.05692047353598,-0.9483285831184111,0.37839656546542644,1.0940012304187041,-0.6709057343619587,-0.9616092676934397,-0.857287769973963,-0.5894125012460997,-1.2912631255859082,3
LotjaGi4g1v0379800.1,LotjaGi4g1v0379800,chr4,75907248,75910214,+,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT1G29280.1 WRKY DNA-binding protein 65,sp|Q9LP56|WRK65_ARATH Probable WRKY transcription factor 65,tr|A0A0R4J3W0|A0A0R4J3W0_SOYBN Uncharacterized protein,WRKY family transcription factor,7.892872775457497,8.241838361046685,8.609295799574012,8.7856090024875,8.019906860227426,8.06516326652856,8.49553270885455,8.436481918412062,8.331320413948163,8.6614897188885,8.662866746935112,8.654217592557554,8.569193761078418,8.65642107910126,8.741740383933742,8.851552485128497,8.635901291906116,8.913594680518122,8.941830842542094,9.289682185926413,0.01180511463832189,0.26581801631226376,-0.41161156281895667,0.35203339907555226,0.9997675573659286,0.24818638846764537,0.09132979870746356,0.8250559167959783,-0.2561658904654674,0.7422709407252636,0.9938892627464001,0.059479297691584145,0.003519368206375878,0.1296934080675885,-0.659797951286602,0.29839920404536935,0.9950045354242046,-0.15544567235348927,0.012169726443468271,0.3468875081020057,-0.4710908605105408,0.035252760100624135,0.9998860959868132,0.5043522789331126,0.45114807490205106,0.9992403910356497,0.1887070907760612,8.498010782524943,8.545783741045298,8.428258708138284,8.345917809018873,8.690040551638246,8.67592543196918,8.601421211310585,8.681898656849118,8.545167204357764,8.696501891400537,8.454123306664458,8.799454073359792,-0.6147561234646646,-0.25746301425321244,-1.1364306502984922,-1.7522567739643655,0.8214311128442585,0.7158643832622178,0.15864863877062693,0.7605380261655111,-0.2620740812010177,0.8697553582927985,-0.9429897767971062,1.6397329006435122,8
LotjaGi4g1v0433600.1,LotjaGi4g1v0433600,chr4,80771086,80775053,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT4G11070.1 WRKY family transcription factor,sp|Q8H0Y8|WRK41_ARATH Probable WRKY transcription factor 41,tr|A0A151SV62|A0A151SV62_CAJCA Putative WRKY transcription factor 41,WRKY family transcription factor,8.630964854706194,8.915202096025848,6.685165667907956,5.797005957611331,8.192807575149885,5.876350717485938,6.761547158811985,7.6332393151725935,8.341529303839907,7.625555425025058,5.930723396055613,6.520793421335482,6.619837577441376,6.301334271840092,5.968080829885588,5.618278584112863,5.874771351062767,5.202266469066389,5.650301861361831,5.7392821868721535,0.02033617658122398,0.34024291296891296,1.5100710253537086,0.5244809770964685,0.9997675573659286,0.6640094732431416,0.010705679161806356,0.4391688191052286,1.543827322618832,0.5563824610118857,0.9909953044400374,0.4248160604989925,0.3327589505519479,0.7845522302805692,0.8460615521105671,0.953324925091209,0.9997993295397554,-0.03375629726512326,0.1413886566116469,0.7108398057888766,1.0852549648547163,0.3445056168051366,0.9998860959868132,-0.8798178493756903,0.8051932851948229,0.9992403910356497,0.23919341274414913,7.237504991098935,7.069646021014364,6.913561339075142,7.361487816334974,6.827698676283253,6.50604642555729,6.2776076185104,6.2299912981452055,6.494550791147733,6.083984645812269,6.373951031948297,6.3574972834459285,1.401270501782055,1.0046461492476462,0.6358425882375127,1.694222423027942,0.4329626169166153,-0.327051075656057,-0.8668160574920428,-0.9793259354294637,-0.3542134522175576,-1.3243166971271643,-0.6391717203648173,-0.6780493409246725,3
LotjaGi2g1v0229400.1,LotjaGi2g1v0229400,chr2,68725792,68729703,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT2G38470.1 WRKY DNA-binding protein 33,sp|Q6IEQ7|WRK24_ORYSJ WRKY transcription factor WRKY24,tr|I1MBH2|I1MBH2_SOYBN Uncharacterized protein,WRKY transcription factor,6.346647383107268,6.439628425318664,6.479033293776144,6.491610272668789,6.1985239439273645,5.908448390792072,6.4181133400914305,6.387403342381957,6.529055153536025,6.95920848701155,6.506298149051144,6.614302564767363,6.284597838055,6.390269561043196,6.583816930738625,6.3534244081745825,6.761768296347512,6.7026370046958625,6.777270883534966,6.9925107687564845,0.021786465715303873,0.3457231424491104,-0.4388088818640949,0.7107505082124979,0.9997675573659286,-0.11654584979514256,0.4008343693144239,0.9943697401985359,-0.1467073238870871,0.04601825758739495,0.7483604657657641,-0.45187811654375715,0.22189547676471968,0.70403873492016,-0.3222630320689523,0.09205029537631224,0.907811391643092,-0.29210155797700776,0.9548110818390052,0.9925339488846733,0.01306923467966222,0.9145327722231587,0.9998860959868132,0.030161474091944526,0.2659653865490468,0.9992403910356497,0.33533226674861455,6.476365185812056,6.745736215821516,6.48032818380746,6.539414172521709,6.3937856726394555,6.415691596797529,6.4738154497478275,6.212930927396569,6.707331285785674,6.68266387855389,6.53248684579869,6.747418398864582,-0.3554838202571209,1.3060379648771587,-0.33103944142552877,0.033411989901272296,-0.8648469100342213,-0.7297278134822986,-0.3712109829624392,-1.980386688589518,1.069150472154321,0.9169981248994991,-0.009316822705762489,1.3164139276246714,9
LotjaGi1g1v0449400.1,LotjaGi1g1v0449400,chr1,94860991,94865825,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT2G38470.1 WRKY DNA-binding protein 33,sp|Q8S8P5|WRK33_ARATH Probable WRKY transcription factor 33,tr|I3T3Y7|I3T3Y7_LOTJA Uncharacterized protein,WRKY transcription factor,7.974520221054112,8.659836156296832,7.228138136226333,6.792079373205131,8.095365329450468,6.447190734151754,7.100018880957601,7.973743338413818,8.110873501527381,8.22396138856494,6.885275016978986,7.371219590439325,6.939842381467867,6.965096384539942,7.413194649125592,6.36473200782408,6.814276278482878,6.088803970945989,6.218484714542813,6.622010190158878,0.02329677948542574,0.35618237426302185,1.291996414315977,0.15784233411515167,0.9997675573659286,1.292384459334762,0.004104451886008563,0.2653893117431426,1.5159563188319187,0.3472658721515839,0.9696589374219134,0.5825022063739363,0.9995985516768011,0.9998069605763099,-3.8804501878493677e-4,0.6606172956414167,0.996004033709212,-0.22395990451594178,0.27096191961932187,0.8233486704096709,0.7094942079420407,0.7851713669129305,0.9998860959868132,-0.22357185949715683,0.406769699054651,0.9992403910356497,0.7098822529608255,7.503055554547212,7.7857752738114705,7.384644768269837,7.8210298272522625,7.0705542116624756,7.049574835450578,7.449168263271565,6.460411397941728,6.988186876119298,6.55100706238038,6.512915114474102,6.889112964215528,0.8046754027149328,1.4018824882831205,0.5545486667497949,1.4763529538317364,-0.1089250605307695,-0.15324114911896985,0.6908458040734133,-1.3977690524206798,-0.2829148923464271,-1.2063979911260498,-1.2868620678870362,-0.4921951022230713,3
LotjaGi6g1v0264600.1,LotjaGi6g1v0264600,chr6,57824043,57828641,+,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT1G30650.1 WRKY DNA-binding protein 14,sp|Q9SA80|WRK14_ARATH Probable WRKY transcription factor 14,tr|V7BN46|V7BN46_PHAVU Uncharacterized protein,WRKY family transcription factor,8.020449198985249,8.056258579525753,8.038067293237367,8.050219397380756,7.962520253274783,7.861800747246154,8.036520199403965,8.048555045110222,8.204131024607245,8.237896180752289,8.254939461486991,8.160170220562662,8.004460746388384,8.059143423921972,7.895596620854292,8.313818590138304,8.40325226445749,8.036427365852393,8.40395207046243,8.35156739795179,0.028512672066091083,0.3909402716529923,-0.32752259822486496,0.5650457794164068,0.9997675573659286,-0.13983005820919872,0.4629044459192519,0.9943697401985359,-0.10098411080080008,0.020755774269118225,0.627141092289515,-0.3896083828411019,0.3589118558491571,0.7966230835816244,-0.1876925400156662,0.09384926911861521,0.9129855761328493,-0.22653848742406482,0.7210818549980175,0.9679194389479603,0.06208578461623694,0.8585201003908294,0.9998860959868132,-0.038845947408398626,0.2756338377712395,0.9992403910356497,0.2497783246319032,8.187230048298511,8.120318699549989,8.2367287940745,8.170579828352643,8.014526049800015,8.034203153465901,7.783744580215293,8.109442591785076,8.26151841924996,8.03326268377525,8.3405656580163,8.31525184020506,0.34370328378903114,-0.0879152373177183,0.6630000226541666,0.23629933149168147,-0.770341580278803,-0.6434124039464915,-2.2590211311180637,-0.15807268649024112,0.8229080435974588,-0.6494790001908747,1.3328103685697008,1.1695209892400844,9
LotjaGi1g1v0312500.1,LotjaGi1g1v0312500,chr1,75673359,75675748,-,IPR003657 (WRKY domain),"GO:0003677, GO:0003700, GO:0005634, GO:0006351, GO:0006355, GO:0043565",AT5G64810.1 WRKY DNA-binding protein 51,sp|Q93WU9|WRK51_ARATH Probable WRKY transcription factor 51,tr|I3T0G9|I3T0G9_LOTJA Uncharacterized protein,WRKY family transcription factor,5.9669594842683376,6.251455255429784,6.15556899972881,6.245717862579339,5.924339990407673,4.651903718921355,5.4344854720275775,5.399531630660059,5.909851830923298,6.131725585282444,6.243261072268696,6.2600981675262215,6.051131190499583,5.669034859691959,6.300220155576015,5.9739609619289205,6.967670020851977,6.504444528551374,6.526012902684795,7.170111907744648,0.039239562800048075,0.4415275011742698,-0.9164739148335115,0.010649535989194263,0.5137754085710697,-1.8692848194932215,0.01757254166921702,0.5481347807874755,-0.9774833655759287,0.0205160463929275,0.623294351921022,-1.122707193511521,0.12424421764624093,0.582031178034649,0.9528109046597097,0.8802275838033579,0.997995280455157,0.06100945074241714,0.6856155072569535,0.9618065929815343,0.20623327867800936,0.17725286081379524,0.9998860959868132,-0.8918014539172926,0.2786761184725251,0.9992403910356497,-0.7465776259817004,5.9285097773692135,6.027461781540686,6.182698735098677,6.178447366752506,6.1060123124156735,5.673662701806226,6.217445991874781,5.856048007331741,6.902189641021861,6.452566063110687,6.347357654948528,6.997106140183659,-0.7891279458187216,-0.5377376185957501,-0.1433538071833547,-0.1541545270741552,-0.3381778034556528,-1.4365740511707417,-0.055077431942805115,-0.973219094183027,1.6845329121250168,0.5422516685598714,0.27496677245346063,1.925670926285848,1
